candidate_id,query_id,text,token_len,candidate_type,facet_label,group_id,underserved,utility_scalar,source_type,source_domain,cluster_id,outlier_type,x,y
Q1_C1,Q1,"Heart attack signs: chest pain, chest pressure, shortness of breath, arm pain.",13,core_redundant,general_symptoms,general,0,0.941,guideline,guidelines.example,core,none,-0.02,0.011
Q1_C2,Q1,"Heart attack signs: chest pressure, chest pain, breathlessness, jaw or arm pain.",13,core_redundant,general_symptoms,general,0,0.935,guideline,guidelines.example,core,none,-0.001,-0.017
Q1_C3,Q1,Heart attack signs: chest pain or pressure with shortness of breath and radiating arm pain.,16,core_redundant,general_symptoms,general,0,0.924,guideline,guidelines.example,core,none,0.018,0.001
Q1_C4,Q1,"Heart attack signs: classic pattern includes chest pain, chest pressure, breathlessness, jaw pain.",14,core_redundant,general_symptoms,general,0,0.915,guideline,guidelines.example,core,none,-0.016,-0.03
Q1_C5,Q1,"Heart attack signs: chest discomfort, chest pressure, shortness of breath, arm or jaw pain.",15,core_redundant,general_symptoms,general,0,0.911,guideline,guidelines.example,core,none,0.005,-0.026
Q1_C6,Q1,"Heart attack in women: nausea, fatigue, back pain, less obvious chest pain.",13,complementary,women_atypical,women,1,0.815,review,review.example,comp,none,2.757,0.257
Q1_C7,Q1,"Heart attack in older adults: weakness, confusion, mild discomfort, vague symptoms.",12,complementary,older_adults_vague,older_adults,1,0.812,review,review.example,comp,none,2.88,0.338
Q1_C8,Q1,Heart attack in diabetes: silent or atypical presentation can delay recognition.,12,complementary,diabetes_silent,people_with_diabetes,1,0.794,review,review.example,comp,none,2.819,0.225
Q1_C9,Q1,"Heart attack in women: fatigue, nausea, upper-back pain, subtle chest pressure.",12,complementary,women_atypical,women,1,0.789,review,review.example,comp,none,2.8,0.239
Q1_C10,Q1,Heart attack response: call emergency services immediately; early treatment matters.,10,niche,emergency_response,general,1,0.683,education,patient.example,niche,none,0.474,3.131
Q1_C11,Q1,Heart attack response: urgent evaluation reduces heart damage and complications.,10,niche,emergency_response,general,1,0.67,education,patient.example,niche,none,0.425,3.286
Q1_C12,Q1,Heart attack disparity in Black women: delayed recognition can persist despite serious symptoms.,14,informative_isolated,black_women_underrecognition,black_women,1,0.78,equity,equity.example,isolated,informative_isolated,7.503,6.791
Q1_C13,Q1,"Chest discomfort article: reflux, anxiety, and indigestion can mimic chest discomfort.",12,noisy_outlier,confusable_noncardiac,general,0,0.166,blog,blog.example,noisy,noisy_outlier,13.937,-13.593
Q2_C1,Q2,"Autism core signs: social-communication differences, restricted interests, repetitive behavior, sensory sensitivities.",12,core_redundant,core_autism_traits,general,0,0.945,guideline,guidelines.example,core,none,0.017,-0.017
Q2_C2,Q2,"Autism core signs: communication differences, repetitive routines, focused interests, sensory features.",12,core_redundant,core_autism_traits,general,0,0.935,guideline,guidelines.example,core,none,0.024,0.015
Q2_C3,Q2,"Autism core signs: interaction differences, repetitive behavior, narrow interests, sensory sensitivity.",12,core_redundant,core_autism_traits,general,0,0.92,guideline,guidelines.example,core,none,0.005,0.014
Q2_C4,Q2,"Autism core signs: social reciprocity differences, restricted interests, repetitive routines, sensory differences.",13,core_redundant,core_autism_traits,general,0,0.913,guideline,guidelines.example,core,none,-0.001,0.02
Q2_C5,Q2,"Autism core signs: communication differences, focused interests, repetitive behavior, sensory difficulties.",12,core_redundant,core_autism_traits,general,0,0.907,guideline,guidelines.example,core,none,0.025,0.023
Q2_C6,Q2,"Autism in girls: masking, peer imitation, quieter restricted interests can delay diagnosis.",13,complementary,girls_masking,girls,1,0.819,review,review.example,comp,none,2.778,0.292
Q2_C7,Q2,Autism in multilingual children: communication differences may be misread and screening may miss cases.,15,complementary,language_barrier,multilingual_children,1,0.803,review,review.example,comp,none,2.879,0.282
Q2_C8,Q2,Autism and limited access to care: waitlists and transport barriers delay diagnosis.,13,complementary,access_barrier,low_resource_families,1,0.801,review,review.example,comp,none,2.735,0.335
Q2_C9,Q2,Autism in girls: social camouflage can hide distress and reduce referral.,12,complementary,girls_masking,girls,1,0.785,review,review.example,comp,none,2.799,0.299
Q2_C10,Q2,Autism high-masking children: strong school performance can hide distress and delay recognition.,13,niche,high_masking_school_success,high_masking_children,1,0.681,education,patient.example,niche,none,0.55,3.144
Q2_C11,Q2,Autism screening: culturally adapted tools reduce missed cases in multilingual families.,12,niche,language_barrier,multilingual_children,1,0.667,education,patient.example,niche,none,0.511,3.225
Q2_C12,Q2,Autism inequity: low-resource families may reach specialist assessment much later despite visible signs.,14,informative_isolated,low_resource_specialist_delay,low_resource_families,1,0.784,equity,equity.example,isolated,informative_isolated,7.48,6.791
Q2_C13,Q2,"Parenting article: screen time, shyness, and routines may worry families without indicating autism.",14,noisy_outlier,irrelevant_parenting,general,0,0.157,blog,blog.example,noisy,noisy_outlier,13.969,-13.481
Q3_C1,Q3,"Skin cancer warning signs: asymmetry, irregular border, color change, evolution.",10,core_redundant,ABCDE_general,general,0,0.943,guideline,guidelines.example,core,none,-0.026,0.019
Q3_C2,Q3,"Skin cancer warning signs: asymmetry, border irregularity, color variation, evolving lesion.",12,core_redundant,ABCDE_general,general,0,0.934,guideline,guidelines.example,core,none,-0.008,0.011
Q3_C3,Q3,"Skin cancer warning signs: changing lesion, irregular edge, color change, evolution.",12,core_redundant,ABCDE_general,general,0,0.923,guideline,guidelines.example,core,none,0.024,0.027
Q3_C4,Q3,"Skin cancer warning signs: asymmetry, non-healing lesion, color change, evolution.",10,core_redundant,ABCDE_general,general,0,0.917,guideline,guidelines.example,core,none,0.029,0.028
