query_id,question,short_answer,facet_labels,budget_tokens,gold_answer_text
Q1,"Heart attack symptoms: general signs and differences in women, older adults, and people with diabetes.",heart attack symptoms,general_symptoms|women_atypical|older_adults_vague|diabetes_silent|emergency_response|black_women_underrecognition,120,"Heart attack symptoms include chest pain, chest pressure, shortness of breath, and arm pain, but equally important clues are nausea, fatigue, back pain, and silent or atypical presentation; call emergency services and consider delayed recognition in Black women."
Q2,"Autism diagnosis delay: common signs and why diagnosis is delayed in girls, multilingual children, and families with limited access to care.",delayed autism diagnosis,core_autism_traits|girls_masking|language_barrier|access_barrier|high_masking_school_success|low_resource_specialist_delay,120,"Autism involves social communication differences, restricted interests, repetitive behavior, and sensory sensitivities, but equally important cues concern girls and masking, multilingual children and missed screening, while high-masking children and low-resource families should not be overlooked."
Q3,Skin cancer warning signs: general signs and signs that are easier to miss on darker skin.,skin cancer warning signs,ABCDE_general|darker_skin_sites|diagnostic_bias|hidden_sites_followup|acral_lentiginous_melanoma,120,"Skin cancer warning signs include asymmetry, irregular border, color change, and evolution, but equally important evidence concerns darker skin, palms, soles, and nails; prompt evaluation and acral lentiginous melanoma also matter."
Q4,"Stroke recognition: key warning signs and common recognition failures in older adults, women, and people living alone.",stroke warning signs,FAST_signs|older_adults_misattribution|women_atypical|living_alone_delay|emergency_response|witnessed_onset_disparity,120,"Stroke should be recognized through facial droop, arm weakness, speech difficulty, and FAST signs, but equally important failures concern older adults, women, people living alone, and emergency response; sudden confusion and lack of witnessed onset also matter."
Q5,"Celiac disease: common symptoms and signs that are often missed in children, adults, and atypical presentation.",celiac disease symptoms,digestive_core_symptoms|children_growth|adult_extraintestinal|atypical_presentation|testing_delay|dermatitis_herpetiformis,120,"Celiac disease commonly includes diarrhea, abdominal pain, bloating, and fatigue, but equally important clues involve children, poor growth, anemia, and atypical presentation; faltering growth and dermatitis herpetiformis also matter."
Q6,"Migraine symptoms: common signs and under-recognized features in women, older adults, and vestibular presentation.",migraine symptoms,common_migraine_symptoms|women_hormonal|older_adults_atypical|vestibular_presentation|urgent_red_flags|delayed_recognition,120,"Migraine commonly includes throbbing headache, nausea, light sensitivity, and sound sensitivity, but equally important clues involve women, older adults, vertigo, and vestibular migraine; red flags and dizziness-dominant cases also matter."
Q7,"ADHD diagnosis in adults: core signs and why women, high-achieving students, and low-resource adults may be missed.",adult ADHD diagnosis,core_adhd_traits|women_internalizing|high_achieving_masking|low_resource_access|functional_impairment|late_specialist_referral,120,"Adult ADHD commonly includes inattention, distractibility, disorganization, and unfinished tasks, but equally important clues involve women, internalizing symptoms, high-achieving students, and low-resource adults; executive dysfunction and late specialist referral also matter."
Q8,Kidney disease warning signs: common signs and why symptoms are often missed in older adults and people with diabetes.,kidney disease warning signs,common_ckd_signs|older_adults_subtle|diabetes_overlap|testing_followup|care_access_delay|late_detection,120,"Kidney disease warning signs include swelling, fatigue, foamy urine, and reduced kidney function, but equally important clues involve older adults, diabetes, repeat testing, and care access delay; late detection and diabetes overlap also matter."
Q9,Postpartum depression: common signs and under-recognized symptoms in anxiety-dominant and socially isolated parents.,postpartum depression signs,common_ppd_signs|anxiety_dominant|social_isolation|screening_barrier|urgent_followup|underrecognized_distress,120,"Postpartum depression includes low mood, crying, hopelessness, and loss of interest, but equally important clues involve panic, intrusive worry, social isolation, and screening barriers; urgent follow-up and under-recognized distress also matter."
Q10,"Asthma symptoms: common signs and patterns that are often missed in women, athletes, and nighttime presentation.",asthma symptoms,common_asthma_symptoms|women_underrecognition|exercise_induced|nighttime_symptoms|action_plan|delayed_diagnosis,120,"Asthma commonly includes wheeze, cough, chest tightness, and shortness of breath, but equally important clues involve women, exercise-induced symptoms, nighttime symptoms, and action plans; delayed diagnosis and recurrent breathlessness without wheeze also matter."
