question,long_answers,short_answers
which is the most common use of opt-in e-mail marketing,"<P> A common example of permission marketing is a newsletter sent to an advertising firm 's customers . Such newsletters inform customers of upcoming events or promotions , or new products . In this type of advertising , a company that wants to send a newsletter to their customers may ask them at the point of purchase if they would like to receive the newsletter . </P>",a newsletter sent to an advertising firm 's customers
how i.met your mother who is the mother,"<P> Tracy McConnell , better known as `` The Mother '' , is the title character from the CBS television sitcom How I Met Your Mother . The show , narrated by Future Ted , tells the story of how Ted Mosby met The Mother . Tracy McConnell appears in 8 episodes from `` Lucky Penny '' to `` The Time Travelers '' as an unseen character ; she was first seen fully in `` Something New '' and was promoted to a main character in season 9 . The Mother is played by Cristin Milioti . </P>",Tracy McConnell
what type of fertilisation takes place in humans,"<P> The process of fertilization involves a sperm fusing with an ovum . The most common sequence begins with ejaculation during copulation , follows with ovulation , and finishes with fertilization . Various exceptions to this sequence are possible , including artificial insemination , in vitro fertilization , external ejaculation without copulation , or copulation shortly after ovulation . Upon encountering the secondary oocyte , the acrosome of the sperm produces enzymes which allow it to burrow through the outer jelly coat of the egg . The sperm plasma then fuses with the egg 's plasma membrane , the sperm head disconnects from its flagellum and the egg travels down the Fallopian tube to reach the uterus . </P>",
who had the most wins in the nfl,"<P> Active quarterback Tom Brady holds the records for most wins with 220 , most regular season wins with 195 , and most postseason wins with 25 , as of Week 16 of the 2017 NFL season . Having played the entirety of his career with the New England Patriots , each of Brady 's win records also apply to wins with a single team . </P>",Tom Brady
what happened to the lost settlement of roanoke,,
what are the different regions of africa and how do they differ,,
who played mantis guardians of the galaxy 2,"<P> Pom Klementieff ( born 3 May 1986 ) is a French actress . She was trained at the Cours Florent drama school in Paris and has appeared in such films as Loup ( 2009 ) , Sleepless Night ( 2011 ) and Hacker 's Game ( 2015 ) . She plays the role of Mantis in the film Guardians of the Galaxy Vol. 2 ( 2017 ) and will appear in the same role in the film Avengers : Infinity War ( 2018 ) . </P>",Pom Klementieff
who did the voice of the magician in frosty the snowman,,
what indian tribe did the acadians form friendships and alliances with,"<P> The survival of the Acadian settlements was based on successful cooperation with the Indigenous peoples of the region . In the early years of Acadian settlement , this included a small number of recorded marriages between Acadian settlers and Indigenous women . Some records have survived showing marriages between Acadian settlers and Indigenous women in formal Roman Catholic rites , for example , the marriage of Charles La Tour to a Mi'kmaw woman in 1626 . There were also reported instances of Acadian settlers marrying Indigenous spouses according to Mi'kmaq rites , and subsequently living in Mi'kmaq communities . Many settlers also brought French wives with them to Acadia , such as La Tour 's second wife , Françoise - Marie Jacquelin , who joined him in Acadia in 1640 . </P>",
what is considered the outer banks in north carolina,,
who is deputy cm of j and k,"<Table> <Tr> <Th_colspan=""2""> Deputy Chief Minister of Jammu and Kashmir </Th> </Tr> <Tr> <Td_colspan=""2""> Incumbent Vacant since 20 June 2018 </Td> </Tr> <Tr> <Th> Appointer </Th> <Td> Governor of Jammu and Kashmir </Td> </Tr> <Tr> <Th> Inaugural holder </Th> <Td> Bakshi Ghulam Mohammad ( as Deputy Prime Minister ) </Td> </Tr> <Tr> <Th> Formation </Th> <Td> 5 March 1948 </Td> </Tr> </Table>",
bangko sentral ng pilipinas (central bank of the philippines),,
actual time taken from start to finish to produce one unit of value,,
i had trouble in getting to solla sellew,,
ed sheeran i ' m in love with your body,,
