document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
0025577043f5090cd603c6aea60f26e236195594,test,Who is Mark Hunter?,He is a high school student in Phoenix.,A loner and outsider student with a radio station.,Who is Mark Hunter ?,He is a high school student in Phoenix .,A loner and outsider student with a radio station .
0025577043f5090cd603c6aea60f26e236195594,test,Where does this radio station take place?,It takes place in Mark's parents basement. ,"Phoenix, Arizona",Where does this radio station take place ?,It takes place in Mark s parents basement .,"Phoenix , Arizona"
0025577043f5090cd603c6aea60f26e236195594,test,Why do more students tune into Mark's show?,Mark talks about what goes on at school and in the community.,Because he has a thing to say about what is happening at his school and the community.,Why do more students tune into Mark s show ?,Mark talks about what goes on at school and in the community .,Because he has a thing to say about what is happening at his school and the community .
0025577043f5090cd603c6aea60f26e236195594,test,Who commits suicide?,Malcolm.,Malcolm.,Who commits suicide ?,Malcolm .,Malcolm .
0025577043f5090cd603c6aea60f26e236195594,test,What does Paige jam into her microwave?,She jams her medals and accolades. ,Her award medals,What does Paige jam into her microwave ?,She jams her medals and accolades .,Her award medals
0025577043f5090cd603c6aea60f26e236195594,test,What does Mark do with his radio station?,He dismantles it and attaches it to his mother's jeep.,Dismantle it.,What does Mark do with his radio station ?,He dismantles it and attaches it to his mother s jeep .,Dismantle it .
0025577043f5090cd603c6aea60f26e236195594,test,What does Mark tell the protesting students?,He tells them to make their own future.,That they should make their own future because the world belongs to them.,What does Mark tell the protesting students ?,He tells them to make their own future .,That they should make their own future because the world belongs to them .
0025577043f5090cd603c6aea60f26e236195594,test,Who gets arrested?,Mark and Nora.,Mark and Nora.,Who gets arrested ?,Mark and Nora .,Mark and Nora .
0025577043f5090cd603c6aea60f26e236195594,test,What does the radio show cause?,It causes trouble. ,It causes much trouble in the community.,What does the radio show cause ?,It causes trouble .,It causes much trouble in the community .
0025577043f5090cd603c6aea60f26e236195594,test,Where does Mark Broadcast his station from?,Parent's Basement,At the basement of his home,Where does Mark Broadcast his station from ?,Parent s Basement,At the basement of his home
0025577043f5090cd603c6aea60f26e236195594,test,What is Mark's only outlet?,His Radio station ,His unauthorized radio station.,What is Mark s only outlet ?,His Radio station,His unauthorized radio station .
0025577043f5090cd603c6aea60f26e236195594,test,What is Mark's Pirate Station's theme song ?,Everybody Knows,"""Everybody Know's""",What is Mark s Pirate Station s theme song ?,Everybody Knows,Everybody Know s
0025577043f5090cd603c6aea60f26e236195594,test,What is Nora Diniro to Mark?,Fellow Student,a fellow student,What is Nora Diniro to Mark ?,Fellow Student,a fellow student
0025577043f5090cd603c6aea60f26e236195594,test,Why does Nora track Mark down?,Malcom' s suicide,To confront him after Malcolm commits suicide.  ,Why does Nora track Mark down ?,Malcom ' s suicide,To confront him after Malcolm commits suicide .
0025577043f5090cd603c6aea60f26e236195594,test,What does Mark urge his listeners to do?,Do something about their problems.,To do something about their problems instead of committing suicide.,What does Mark urge his listeners to do ?,Do something about their problems .,To do something about their problems instead of committing suicide .
0025577043f5090cd603c6aea60f26e236195594,test,Who is called in to investigate Mark's radio station? ,The FCC,FCC,Who is called in to investigate Mark s radio station ?,The FCC,FCC
0025577043f5090cd603c6aea60f26e236195594,test,Why did the principal commit fraud?,To retain government funding,For government funding,Why did the principal commit fraud ?,To retain government funding,For government funding
0025577043f5090cd603c6aea60f26e236195594,test,What did the principal do with poor achieving students?,Expelled them,Expell them,What did the principal do with poor achieving students ?,Expelled them,Expell them
0025577043f5090cd603c6aea60f26e236195594,test,Who drives the Jeep while Mark broadcasts? ,Nora,Nora,Who drives the Jeep while Mark broadcasts ?,Nora,Nora
0025577043f5090cd603c6aea60f26e236195594,test,Where does Mark go to school?,"Phoenix, Arizona.","Phoenix, Arizona",Where does Mark go to school ?,"Phoenix , Arizona .","Phoenix , Arizona"
0025577043f5090cd603c6aea60f26e236195594,test,Where does Mark broadcast his radio station?,In his parent's basement.,His parents' basement.,Where does Mark broadcast his radio station ?,In his parent s basement .,His parents ' basement .
0025577043f5090cd603c6aea60f26e236195594,test,What does Mark use the song Everybody Knows for?,His radio stations theme song.,It is the theme song.,What does Mark use the song Everybody Knows for ?,His radio stations theme song .,It is the theme song .
0025577043f5090cd603c6aea60f26e236195594,test,"When Harry tries to reason with Malcolm, what does Malcolm do?",Commits suicide.,Commits suicide.,"When Harry tries to reason with Malcolm , what does Malcolm do ?",Commits suicide .,Commits suicide .
0025577043f5090cd603c6aea60f26e236195594,test,What does Paige do with her medals?,Puts them in the microwave.,Melts them in a microwave.,What does Paige do with her medals ?,Puts them in the microwave .,Melts them in a microwave .
0025577043f5090cd603c6aea60f26e236195594,test,How does Paige get injured?,When the microwave explodes.,Microwaving her medals,How does Paige get injured ?,When the microwave explodes .,Microwaving her medals
0025577043f5090cd603c6aea60f26e236195594,test,Why is the FCC called?,To investigate the radio show.,Because of trouble caused by the radio station.,Why is the FCC called ?,To investigate the radio show .,Because of trouble caused by the radio station .
0025577043f5090cd603c6aea60f26e236195594,test,What was the principle doing with the problem students?,Expelling them.,Expelling the students,What was the principle doing with the problem students ?,Expelling them .,Expelling the students
0025577043f5090cd603c6aea60f26e236195594,test,Who is chasing Mark and Nora in the jeep?,The cops and the FCC.,The police and the FCC.,Who is chasing Mark and Nora in the jeep ?,The cops and the FCC .,The police and the FCC .
0025577043f5090cd603c6aea60f26e236195594,test,What are the students doing when Mark and Nora drive up?,Protesting.,Protesting,What are the students doing when Mark and Nora drive up ?,Protesting .,Protesting
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Miss Delmer?,the elderly spinster aunt of the Earl de Verseley and Captain Delmar,She's Captail Delmar's aunt.,Who is Miss Delmer ?,the elderly spinster aunt of the Earl de Verseley and Captain Delmar,She s Captail Delmar s aunt .
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Arabella Mason wed?,"Ben Keene, Delmar's valet",Ben Keene,Who does Arabella Mason wed ?,"Ben Keene , Delmar s valet",Ben Keene
0029bdbe75423337b551e42bb31f9a102785376f,train,How does Percival Keene get his name?,"Percival is Captain Delmar's first name, and Keene is Ben's last name",Captain's name and Ben's surname,How does Percival Keene get his name ?,"Percival is Captain Delmar s first name , and Keene is Ben s last name",Captain s name and Ben s surname
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is the bully that steals Percival's lunch?,"his teacher, Mr. O'Gallagher",The schoolmaster,Who is the bully that steals Percival s lunch ?,"his teacher , Mr. O'Gallagher",The schoolmaster
0029bdbe75423337b551e42bb31f9a102785376f,train,How does Percival get even with O'Gallagher after he takes all of the boy's fireworks?,He sets them on fire with the teacher sitting on them,He sets them off underneath him,How does Percival get even with O'Gallagher after he takes all of the boy s fireworks ?,He sets them on fire with the teacher sitting on them,He sets them off underneath him
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Percival convince the Pirates to spare?,a rich Dutch merchant and his daughter Minnie,A Dutch Merchant and his daughter,Who does Percival convince the Pirates to spare ?,a rich Dutch merchant and his daughter Minnie,A Dutch Merchant and his daughter
0029bdbe75423337b551e42bb31f9a102785376f,train,How does Percival save Captain Delmar's life?,"When the captain is ill, Percival takes his place in a duel with a French officer",Take his place in a duel,How does Percival save Captain Delmar s life ?,"When the captain is ill , Percival takes his place in a duel with a French officer",Take his place in a duel
0029bdbe75423337b551e42bb31f9a102785376f,train,What shocking news does Percival's mother admit to?,Captain Delmar is Percival's father,He's a bastard,What shocking news does Percival s mother admit to ?,Captain Delmar is Percival s father,He s a bastard
0029bdbe75423337b551e42bb31f9a102785376f,train,What happens when Percival is captured by the French?,he is sentenced to execution,He escapes,What happens when Percival is captured by the French ?,he is sentenced to execution,He escapes
0029bdbe75423337b551e42bb31f9a102785376f,train,What news does Percival receive at the end of the story?,"He has been granted the right to use his father's name, Delmar",He gets the arms and name of his biological father,What news does Percival receive at the end of the story ?,"He has been granted the right to use his father s name , Delmar",He gets the arms and name of his biological father
0029bdbe75423337b551e42bb31f9a102785376f,train,What is the name of the de Versely family house?,Madeline Hall,Madeline Hall,What is the name of the de Versely family house ?,Madeline Hall,Madeline Hall
0029bdbe75423337b551e42bb31f9a102785376f,train,Who lives at Madeline Hall?,Miss Delmar,Miss Delmar,Who lives at Madeline Hall ?,Miss Delmar,Miss Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Capitan Delmar suggest Ben marry in secret?,Arabella,Arabella Mason,Who does Capitan Delmar suggest Ben marry in secret ?,Arabella,Arabella Mason
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Ben and Arabella's son?,Percival Keene,Percival,Who is Ben and Arabella s son ?,Percival Keene,Percival
0029bdbe75423337b551e42bb31f9a102785376f,train,What does Percival do to his grandmother that caused him to go away to school?,He bit his grandmother.,bites her,What does Percival do to his grandmother that caused him to go away to school ?,He bit his grandmother .,bites her
0029bdbe75423337b551e42bb31f9a102785376f,train,Who's lives does Percival convince the pirate captain to spare?,A Dutch merchant and his daughter,a wealthy dutch merchant and his daughter minnie,Who s lives does Percival convince the pirate captain to spare ?,A Dutch merchant and his daughter,a wealthy dutch merchant and his daughter minnie
0029bdbe75423337b551e42bb31f9a102785376f,train,Who becomes Lord de Versely after his brother dies?,Colonial Delmar,Captain Delmar,Who becomes Lord de Versely after his brother dies ?,Colonial Delmar,Captain Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,What is Percival promoted to after a battalion with a French war ship?,Capitan,captain,What is Percival promoted to after a battalion with a French war ship ?,Capitan,captain
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Percival propose to?,Minni,Minnie,Who does Percival propose to ?,Minni,Minnie
0029bdbe75423337b551e42bb31f9a102785376f,train,What is Percival granted at the end of the story?,The arms and name of Delmar,Arms and name of Delmar,What is Percival granted at the end of the story ?,The arms and name of Delmar,Arms and name of Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Arabella Manson?,Miss Delma house guest,She's Percival's mother,Who is Arabella Manson ?,Miss Delma house guest,She s Percival s mother
0029bdbe75423337b551e42bb31f9a102785376f,train, Who is Been Kneene?,His Captain Delmar valet,valet and private marine,Who is Been Kneene ?,His Captain Delmar valet,valet and private marine
0029bdbe75423337b551e42bb31f9a102785376f,train,Who did Ben married in secrete ?,Arabella Manson,Arabella Mason.,Who did Ben married in secrete ?,Arabella Manson,Arabella Mason .
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was Percival Kneene?,Arabella and Been son,Ben and Arabella's son,Who was Percival Kneene ?,Arabella and Been son,Ben and Arabella s son
0029bdbe75423337b551e42bb31f9a102785376f,train,What school did Percival was sent to?,Mr O'Gallagher school,Mr. O'Gallagher's school house.,What school did Percival was sent to ?,Mr O'Gallagher school,Mr. O'Gallagher s school house .
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was  Percival biological father?,Captain  Delmar,Captain Delmar,Who was Percival biological father ?,Captain Delmar,Captain Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,Why did H. M. Calliope took Percival as  prisoner?,Because Percival skin was dyed tan,He doesn't recognize him,Why did H. M. Calliope took Percival as prisoner ?,Because Percival skin was dyed tan,He does n't recognize him
0029bdbe75423337b551e42bb31f9a102785376f,train,Who did Percival reunited with?,Minnie,minnie,Who did Percival reunited with ?,Minnie,minnie
0029bdbe75423337b551e42bb31f9a102785376f,train,Who was Minnie?,A Heiress,Daughter  to the dutch merchant,Who was Minnie ?,A Heiress,Daughter to the dutch merchant
00936497f5884881f1df23f4834f6739552cee8b,train,What country do the explorers eventually return to at the end?,England,England,What country do the explorers eventually return to at the end ?,England,England
00936497f5884881f1df23f4834f6739552cee8b,train,What species was already extinct but one was killed during the course of the story?,A Bluebuck antelope,Bluebuck antelope.,What species was already extinct but one was killed during the course of the story ?,A Bluebuck antelope,Bluebuck antelope .
00936497f5884881f1df23f4834f6739552cee8b,train,What type of birds attack the balloon?,Condors,Condors attack the balloon.,What type of birds attack the balloon ?,Condors,Condors attack the balloon .
00936497f5884881f1df23f4834f6739552cee8b,train,"Where are the explorers when they run out of water, stranded?",The Sahara desert,Over the Sahara Desert.,"Where are the explorers when they run out of water , stranded ?",The Sahara desert,Over the Sahara Desert .
00936497f5884881f1df23f4834f6739552cee8b,train,What was the tribe going to do to the missionary before he is rescued by the explorers?,Sacrifice him,Sacrifice him,What was the tribe going to do to the missionary before he is rescued by the explorers ?,Sacrifice him,Sacrifice him
00936497f5884881f1df23f4834f6739552cee8b,train,The initial exploration is to find the source of what?,The Nile river,The Nile river,The initial exploration is to find the source of what ?,The Nile river,The Nile river
00936497f5884881f1df23f4834f6739552cee8b,train,What area is described as a desert but is actually a savanna?,The interior of Africa near modern day Central African Republic.,Chad,What area is described as a desert but is actually a savanna ?,The interior of Africa near modern day Central African Republic .,Chad
