question,long_answers,short_answers
which is the most common use of opt-in e-mail marketing,"A common example of permission marketing is a newsletter sent to an advertising firm's customers. Such newsletters inform customers of upcoming events or promotions, or new products. In this type of advertising, a company that wants to send a newsletter to their customers may ask them at the point of purchase if they would like to receive the newsletter.",A newsletter sent to an advertising firm's customers
how i.met your mother who is the mother,"Tracy McConnell, better known as `` The Mother '', is the title character from the CBS television sitcom How I Met Your Mother. The show, narrated by Future Ted, tells the story of how Ted Cosby met The Mother. Tracy McConnell appears in episodes from `` Lucky Penny '' to `` The Time Travelers '' as an unseen character ; she was first seen fully in `` Something New '' and was promoted to a main character in season. The Mother is played by Cristina Militia.",Tracy McConnell
who had the most wins in the nfl,"Active quarterback Tom Brady holds the records for most wins with 220, most regular season wins with 195, and most postseason wins with 25, as of Week 16 of the 2017 NFL season. Having played the entirety of his career with the New England Patriots, each of Brady's win records also apply to wins with a single team.",Tom Brady
who played mantis guardians of the galaxy 2,"Pom Klementieff (born May 1986) is a French actress. She was trained at the Course Florent drama school in Paris and has appeared in such films as Coup (2009) , Sleepless Night (2011) and Hacker's Game (2015) . She plays the role of Mantis in the film Guardians of the Galaxy Vol. (2017) and will appear in the same role in the film Avengers : Infinity War (2018) .",Pom Klementieff
the nashville sound brought a polished and cosmopolitan sound to country music by,"In the early 1960s, the Nashville sound began to be challenged by the rival Bakersfield sound on the countryside and by the British Invasion on the pop side ; compounding these problems were the sudden deaths, in separate airplane crashes, of Patsy Cline and Jim Reeves, two of the Nashville Sound's biggest stars. Nashville's pop song structure became more pronounced, and it morphed into what was called Countrypolitan - a smoother sound typified through the use of lush string arrangements with a real orchestra and often, background vocals provided by a choir. Countrypolitan was aimed straight at mainstream markets, and it sold well throughout the later 1960s into the early 1970s. Among the architects of this sound were producers Billy Sherrill (who was instrumental in shaping Tammy Wynette's early career) and Glenn Sutton. Artists who typified the countrypolitan sound initially included Lynette, Glen Campbell (who recorded in Hollywood and not Nashville) , Lynn Anderson, Charlie Rich, and Charley Pride, the latter being a rare example of a top-selling African - American country performer.","The use of lush string arrangements with a real orchestra and often, Background vocals provided by a choir"
who needs to be in the car with a permit driver,"Typically, a driver operating with a learner's permit must be accompanied by an adult licensed driver who is at least 21 years of age or older and in the passenger seat of the vehicle at all times.",An adult licensed driver who is at least 21 years of age or older and in the passenger seat of the vehicle at all times
god's not dead a light in the darkness release date,"Principal photography was completed in Little Rock, Arkansas in December 2017. It was released in the United States on March 30, 2018. Unlike the first two films, A Light in Darkness was a box office bomb, making less in its entire theatrical run ($. a million) than the others grossed in their respective opening weekends ($. a million and $. a million) .","March 30, 2018"
who is the current president of un general assembly,Miroslaw Lack of Slovakia has been elected as the United Nations General Assembly President of its 72nd session beginning in September 2017.,Miroslaw Lack of Slovakia
when do they pull the powerball numbers 2016,"Drawings for Power ball are held every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time. Since October 2015, the game has used a / 69 (white balls) + / 26 (Power balls) matrix from which winning numbers are chosen, resulting in odds of in 292,201,338 of winning a jackpot per play. Each play costs $, or $ with the Power Play option. (Originally, Power ball plays cost $ ; when Overplay began, such games were $. ) The official cutoff for ticket sales is 10 : 00 p.m. Eastern Time ; some lotteries cut off sales earlier. The drawings are usually held at the Florida Lottery's studio in Tallahassee.",Every Wednesday and Saturday evening at 10 : 59 p.m. Eastern Time
what is the name of the sea surrounding dubai,"Dubai (/ Dubai / dew - BY ; Arabic : دبي ‎ Dubai, Gulf pronunciation : (dʊˈbɑj) ) is the largest and most populous city in the United Arab Emirates (UAE) . It is located on the southeast coast of the Persian Gulf and is the capital of the Emirate of Dubai, one of the seven emirates that make up the country. Abu Dhabi and Dubai are the only two emirates to have veto power over critical matters of national importance in the country's Federal Supreme Council. The city of Dubai is located on the emirate's northern coastline and heads the Dubai - Sharjah - Amman metropolitan area. Dubai will host World Expo 2020.",Persian Gulf
